date,value
2020-06-04,-0.004716814430355654
2020-06-05,0.011218989117245615
2020-06-08,0.006209243182551116
2020-06-09,0.0041865325619918625
2020-06-10,0.000560424092746814
2020-06-11,-0.04493779529265429
2020-06-12,0.0001763866756347987
2020-06-15,0.003629727308649189
2020-06-16,0.018499767345301343
2020-06-17,0.0012914210059771225
2020-06-18,0.0009537058749284899
2020-06-19,0.003999850595926224
2020-06-22,0.0017268536482437646
2020-06-23,0.0008627837168877495
2020-06-24,-0.018623043886584978
2020-06-25,0.008585265514185814
2020-06-26,-0.020927713905069534
2020-06-29,0.011353258318937076
2020-06-30,0.012989967695137716
2020-07-01,0.017178485946400812
2020-07-06,0.01395277381994009
2020-07-07,0.0006798131154979181
2020-07-08,0.0010703850811735194
2020-07-09,-0.0023830790696651727
2020-07-10,0.01563481656928567
2020-07-13,0.0014367828766710389
2020-07-14,0.011441645401495837
2020-07-15,0.003335342441504574
2020-07-16,0.0006845627367930707
2020-07-17,-0.003061455757055076
2020-07-20,0.004717041074613126
2020-07-21,-0.0025846914575053948
2020-07-22,0.008833356242813561
2020-07-23,-0.007713929266044861
2020-07-24,-0.003349758330596475
2020-07-27,0.008674766017127133
2020-07-28,-0.0033371138048545745
2020-07-29,0.00032034293289884275
2020-07-30,-0.0024503101350272782
2020-07-31,0.0004730950065576778
2020-08-03,0.003042466320583914
2020-08-05,0.002673980704258616
2020-08-06,-0.0002823958344526645
2020-08-07,0.00020333941425931812
2020-08-10,-0.0005155621501619079
2020-08-11,-0.00773643894533671
2020-08-12,0.01748037765807542
2020-08-13,0.0013256891546338245
2020-08-14,0.0004805837024333126
2020-08-17,0.0064239254963569525
2020-08-18,0.006189667210443339
2020-08-19,-0.006756018237981554
2020-08-20,0.00356275807064077
2020-08-21,0.0006206506934549605
2020-08-24,0.003411595823911151
2020-08-25,-0.0003399012017241132
2020-08-26,0.014460403314691561
2020-08-27,-0.00024675385216088586
2020-08-28,0.007245751210896101
2020-08-31,-0.00021650558306385292
2020-09-01,0.004616817988254196
2020-09-03,-0.0253064461451723
2020-09-04,-0.005728073989451632
2020-09-08,-0.020628508731785122
2020-09-09,0.013140959167782906
2020-09-10,-0.01885992620286081
2020-09-11,0.006245253694515229
2020-09-14,0.004949764314017946
2020-09-15,0.00623489591446913
2020-09-16,-0.005472623554303779
2020-09-17,-0.004528066789076024
2020-09-18,-0.003284233178316165
2020-09-21,-0.011533537451862919
2020-09-22,0.009255704984847846
2020-09-23,-0.018369470195242488
2020-09-24,0.0024612692458965135
2020-09-25,0.007071664156015345
2020-09-28,0.009435619068576262
2020-09-29,-0.004975596001343119
2020-09-30,0.010618898389501252
2020-10-01,0.004944154519751276
2020-10-05,0.014319968140486417
2020-10-06,-0.015176892950235388
2020-10-07,0.017353215281344703
2020-10-08,0.005368479615206256
2020-10-09,0.009132153650621255
2020-10-12,0.008516607895006745
2020-10-13,-0.0010236181794922583
2020-10-14,-0.006684208470871367
2020-10-15,-0.004335572553120115
2020-10-16,0.004163736461733292
2020-10-19,-0.013303565237630766
2020-10-20,0.0012351160778718562
2020-10-21,-0.01188200837890685
2020-10-22,0.004926724939711358
2020-10-23,0.00440798756764349
2020-10-26,-0.008818199030167895
2020-10-27,-0.003311975267358047
2020-10-28,-0.0289042858640729
2020-10-29,0.003712496698261125
2020-10-30,-0.006366230816950091
2020-11-02,0.014617141841220205
2020-11-04,0.019924582311531935
2020-11-05,0.008149000803526096
2020-11-06,0.002734013478087105
2020-11-09,0.0008005029730422386
2020-11-10,0.01226161762799216
2020-11-11,0.0065156570034474726
2020-11-12,-0.00829530704270065
2020-11-13,0.011980745525858705
2020-11-16,-0.0018447341876627332
2020-11-17,0.0008865579530823453
2020-11-18,-0.008076294116078242
2020-11-19,0.005375301739753979
2020-11-20,0.0006437534330565597
2020-11-23,-0.0017491571264678374
2020-11-24,0.006541907012845405
2020-11-25,0.002388710330682775
2020-11-27,0.0033472005185122278
2020-11-30,0.0002637844942687817
2020-12-01,0.009972292128724192
2020-12-03,-0.003649528005882474
2020-12-04,0.006012052441950244
2020-12-07,0.0006605551787426389
2020-12-08,0.010177736631742595
2020-12-09,-0.005361369985768638
2020-12-10,-0.0036502214044330517
2020-12-11,0.00021884740618260956
2020-12-14,-0.008039645848566868
2020-12-15,0.00104573702753874
2020-12-16,0.0006001122507344192
2020-12-17,0.006922347355855507
2020-12-18,-0.0006683809720297029
2020-12-21,-0.007059546998277599
2020-12-22,-0.005257227024736633
2020-12-23,-0.001424546627420642
2020-12-24,0.0018101944104456091
2020-12-28,0.007856432956695691
2020-12-29,0.005639952253355451
2020-12-30,-0.0022320456419482326
2020-12-31,0.008761579096360661
2021-01-04,-0.013621951696908496
2021-01-06,-0.00580243573464323
2021-01-07,0.002077889514752851
2021-01-08,0.0011855505778681774
2021-01-11,-0.0020273524926253117
2021-01-12,-0.0036486320369994996
2021-01-13,0.003897343457602842
2021-01-14,-0.004338884291122502
2021-01-15,-0.004822088624294785
2021-01-19,0.004109776721549219
2021-01-20,0.02199854055881567
2021-01-21,-0.0027305040488955212
2021-01-22,-0.00378794572638097
2021-01-25,0.00456972234432973
2021-01-26,0.007859626308346357
2021-01-27,-0.025729127506251226
2021-01-28,0.007263648692832136
2021-01-29,-0.017948638443382348
2021-02-01,0.0050246223316559036
2021-02-03,-0.001194038339651038
2021-02-04,0.0059777821616786575
2021-02-05,0.006186339933654361
2021-02-08,-0.002455327755836567
2021-02-09,0.0013261447241799118
2021-02-10,-0.003557846764731254
2021-02-11,-0.003337512225077277
