,weight
NVDA,0.029411764705882353
TSLA,0.029411764705882353
JPM,0.029411764705882353
BAC,0.029411764705882353
GOOGL,0.029411764705882353
WMT,0.029411764705882353
PEP,0.029411764705882353
XOM,0.029411764705882353
GS,0.029411764705882353
MMM,0.029411764705882353
KO,0.029411764705882353
CVX,0.029411764705882353
SLB,0.029411764705882353
CAT,0.029411764705882353
HD,0.029411764705882353
JNJ,0.029411764705882353
META,0.029411764705882353
BA,0.029411764705882353
MS,0.029411764705882353
GE,0.029411764705882353
AMZN,0.029411764705882353
C,0.029411764705882353
COP,0.029411764705882353
NFLX,0.029411764705882353
WFC,0.029411764705882353
UNH,0.029411764705882353
PFE,0.029411764705882353
MCD,0.029411764705882353
AAPL,0.029411764705882353
CVS,0.029411764705882353
ABBV,0.029411764705882353
MRK,0.029411764705882353
PG,0.029411764705882353
MSFT,0.029411764705882353
