symbol,cluster
AAPL,0
ABBV,4
AMZN,2
BA,5
BAC,0
C,0
CAT,4
COP,5
CVS,4
CVX,5
GE,5
GOOGL,0
GS,0
HD,0
JNJ,1
JPM,0
KO,1
MCD,1
META,5
MMM,5
MRK,4
MS,0
MSFT,2
NFLX,2
NVDA,3
PEP,1
PFE,4
PG,1
SLB,5
TSLA,3
UNH,2
WFC,0
WMT,1
XOM,4
