symbol,cluster
AAPL,1
ABBV,3
AMZN,1
BA,0
BAC,1
C,1
CAT,0
COP,0
CVS,3
CVX,3
GE,1
GOOGL,1
GS,1
HD,3
JNJ,2
JPM,1
KO,2
MCD,3
META,1
MMM,3
MRK,2
MS,1
MSFT,1
NFLX,4
NVDA,5
PEP,2
PFE,3
PG,2
SLB,0
TSLA,5
UNH,4
WFC,1
WMT,2
XOM,0
