cluster_id,n_stocks,stocks,mean_return,mean_volatility,mean_sharpe,mean_market_corr
0,5,"['BA', 'CAT', 'COP', 'SLB', 'XOM']",0.0006305267576550086,0.023946536938233582,0.39659171634279045,0.5610582123257873
1,12,"['AAPL', 'AMZN', 'BAC', 'C', 'GE', 'GOOGL', 'GS', 'JPM', 'META', 'MS', 'MSFT', 'WFC']",0.0008427259070809011,0.020948013201067168,0.5865723026048637,0.7029710364216774
2,6,"['JNJ', 'KO', 'MRK', 'PEP', 'PG', 'WMT']",0.0005407915583254787,0.013181174275634554,0.5495391424464047,0.4700288743719274
3,7,"['ABBV', 'CVS', 'CVX', 'HD', 'MCD', 'MMM', 'PFE']",0.00044914439931034104,0.017101572785430095,0.3495518227407182,0.5321267806842191
4,2,"['NFLX', 'UNH']",0.0007212014035580676,0.023623970130698918,0.40977953788937593,0.4808136733150766
5,2,"['NVDA', 'TSLA']",0.0022701441387255185,0.03605615338391367,0.9766835206640462,0.5995831153262887
