Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,TSLA,TSLA,TSLA,TSLA,TSLA,JPM,JPM,JPM,JPM,JPM,BAC,BAC,BAC,BAC,BAC,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,WMT,WMT,WMT,WMT,WMT,PEP,PEP,PEP,PEP,PEP,XOM,XOM,XOM,XOM,XOM,GS,GS,GS,GS,GS,MMM,MMM,MMM,MMM,MMM,KO,KO,KO,KO,KO,CVX,CVX,CVX,CVX,CVX,SLB,SLB,SLB,SLB,SLB,CAT,CAT,CAT,CAT,CAT,HD,HD,HD,HD,HD,JNJ,JNJ,JNJ,JNJ,JNJ,META,META,META,META,META,BA,BA,BA,BA,BA,MS,MS,MS,MS,MS,GE,GE,GE,GE,GE,AMZN,AMZN,AMZN,AMZN,AMZN,C,C,C,C,C,COP,COP,COP,COP,COP,NFLX,NFLX,NFLX,NFLX,NFLX,WFC,WFC,WFC,WFC,WFC,UNH,UNH,UNH,UNH,UNH,PFE,PFE,PFE,PFE,PFE,MCD,MCD,MCD,MCD,MCD,AAPL,AAPL,AAPL,AAPL,AAPL,CVS,CVS,CVS,CVS,CVS,ABBV,ABBV,ABBV,ABBV,ABBV,MRK,MRK,MRK,MRK,MRK,PG,PG,PG,PG,PG,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,4.840270887301392,4.932240895881997,4.808625840562188,4.928532123565674,355616000,20.799999237060547,21.474000930786133,20.733333587646484,21.368667602539062,65283000,86.08492304504716,86.39685343901021,85.42906861387311,86.34086608886719,13578800,24.652473674920554,24.776771545410156,24.536462539868012,24.776771545410156,57121600,52.25617025270984,53.39556020053394,52.25617025270984,53.25809860229492,31766000,29.12264505629327,29.266352464317606,28.893888585528973,28.914419174194336,30451500,93.88510254749457,94.0808106737111,92.31943753776234,92.42120361328125,4165800,57.74679547361318,58.697528227579014,57.636568102921075,58.58041000366211,11469300,216.025918290218,216.1432585326509,212.79940689211696,214.26600646972656,2258300,148.31052724758854,149.12196611370317,146.44233639457508,148.2224578857422,3505476,35.781108568283194,35.80448886849023,35.4693573578166,35.492740631103516,10872200,89.00344217433975,90.44069362834477,88.8830824391583,90.3274154663086,5626000,53.790727726248036,55.181528315817985,53.4193202367932,54.936553955078125,8678200,132.59927996942488,133.51231046081628,130.69782118071328,131.54383850097656,5108400,156.61609208486416,157.03601398080073,154.80463473644744,154.82110595703125,4684700,111.6969074319521,111.92883749344223,110.94511477170282,111.35299682617188,6842100,176.4474526579683,180.32040802242759,176.3183647528784,180.16151428222656,18151900,281.84768519170586,283.02938722794903,281.5141318186582,282.8864440917969,2978900,41.285769453148795,41.309247091853216,40.82408235966903,40.8397331237793,6644600,79.36627842920265,81.2172605724546,79.14055468423824,81.17211151123047,16185981,58.599998474121094,59.5,58.5255012512207,59.45050048828125,53890000,57.13503826976446,57.20352116184143,56.320888895760966,56.579593658447266,15819800,42.50707369464063,42.83114145774689,42.298743156903136,42.684539794921875,3985200,19.610000610351562,20.165000915527344,19.54199981689453,20.10700035095215,109669000,48.61349227864406,48.868346512919615,48.342709274963525,48.65331268310547,13819300,194.46841753510864,195.7266222558142,193.5709484693674,194.5915985107422,3485000,23.79117553125188,23.882730658041595,23.699620404462166,23.830413818359375,17059833,144.00193442788893,144.62359708532833,143.1150356134435,143.57920837402344,3696900,39.812831542998936,40.31353343162475,39.60225378021744,40.30417251586914,102223600,56.14470974838601,56.89013048219154,55.998703672139676,56.498207092285156,5878300,68.44882998324043,69.68899971506994,68.17402040857147,69.3437271118164,4561300,42.17734380865032,42.29659416123333,41.77487163396765,41.90157699584961,10556504,73.84527495588367,73.85331031831619,72.74466934086846,72.82500457763672,7558900,79.21592006079612,79.38147085889692,78.6364957759161,79.05036926269531,22483800
2018-01-03,5.045967551442448,5.283308751359066,5.037314533526364,5.252899169921875,914704000,21.399999618530273,21.683332443237305,21.036666870117188,21.149999618530273,67822500,86.26893184197787,86.77281826704926,85.96500121922848,86.42889404296875,11901000,24.776778302540162,24.80992525332826,24.602761552503452,24.693912506103516,57865700,53.293826858111245,54.39401559956042,53.2690166056818,54.16673278808594,31318000,28.990663423386998,29.32793287427197,28.967199420410157,29.1666316986084,26710800,92.30373806157989,92.74212213721513,92.0923700447307,92.17848205566406,4224000,58.66998528247098,59.916961862525454,58.43574353870885,59.7309455871582,13957700,214.10673918747443,214.65987251031316,212.2127354982138,212.27139282226562,2988200,147.8639130230853,148.27906268813416,146.7442544338452,148.21615600585938,2623665,35.45376222703343,35.609634814140136,35.336854813624385,35.414791107177734,12635600,90.24246711284341,91.29031863664943,89.84598538031824,90.98587036132812,5805500,55.292150880465854,56.61182772935098,54.62835746487308,56.366859436035156,9529200,131.54384877657546,131.92079949129865,130.1701106147779,131.74488830566406,4146100,154.79637641490538,155.91618049152498,154.64817314898966,155.62799072265625,4530500,111.45700214906948,112.51270219089643,111.08909909890063,112.41673278808594,5350500,180.61832239618496,183.49819933966575,180.07213465781712,183.3889617919922,16886600,282.0287773788808,284.46843736261707,281.5808694632629,283.80133056640625,3211200,40.92580977645296,41.121439845159784,40.628451236196746,40.94928741455078,6955500,82.61678326997337,82.79736514605159,81.39784482586687,81.93959045410156,17000180,59.415000915527344,60.27450180053711,59.415000915527344,60.209999084472656,62176000,56.57198153040828,56.868727175611504,56.28284638524147,56.75459289550781,14657900,42.73084390812961,43.51015195783198,42.69226482627419,43.47157287597656,4105800,20.204999923706055,20.621000289916992,20.149999618530273,20.5049991607666,85914000,48.75686203039962,49.19489268024412,48.66128938679127,49.027645111083984,14203700,194.9963489760143,196.92326211441124,194.02850219614544,196.63290405273438,2417600,23.836956797969698,24.046224189210484,23.69308480914573,24.006988525390625,14183151,143.58744082340831,143.92728598892518,142.56791797461233,142.9740753173828,3789600,40.36733841756425,40.839964608071945,40.233975739981666,40.29714584350586,118071600,56.65959644941431,56.79023563578395,56.144714360383,56.25230026245117,6139500,69.44234789044268,70.534537824641,69.08297960356008,70.42884063720703,4702300,41.90902284427042,41.931381909629444,41.70778827641964,41.84194564819336,11090460,72.8892592488385,73.17846481200279,72.7205473206482,72.73661804199219,5863600,79.15157557259072,79.56545626449491,79.06880364437916,79.41829681396484,26061400
2018-01-04,5.334237807459487,5.390853534850007,5.258337875477712,5.280588626861572,583268000,20.857999801635742,21.23666763305664,20.3786678314209,20.974666595458984,149194500,87.12029439312698,88.4629552577911,86.9916531411112,87.66700744628906,12953700,24.83477908865189,25.22424778251194,24.760200044318402,25.0170841217041,76512500,54.44314296338079,54.79002080218762,54.30270550308476,54.377140045166016,26052000,29.193031311035156,29.26341662070553,29.008266097294555,29.193031311035156,20491200,92.21766050729536,93.24316905563306,92.06109044139899,92.63256072998047,3147000,59.792954213494795,60.08919788543793,59.54493601111533,59.813621520996094,10863000,213.89719988897895,217.66007893356885,213.13457803943174,215.2380828857422,2583200,149.07789494700052,150.6127029417499,148.74451254596306,150.1535186767578,2682748,35.508329342214566,36.02271677068947,35.422597608622084,35.913604736328125,12709400,90.58939890060294,90.87260788688856,90.0725573551942,90.70268249511719,4598300,56.70664447786317,57.83666839780252,56.311531303464086,57.76554489135742,12252300,132.25587637144687,133.6714996206843,131.52712871733766,133.55422973632812,4865800,156.33616257373183,157.15954787206314,155.183428181613,156.86312866210938,4047400,112.32874692213285,112.8805953471986,112.14480151498964,112.40872955322266,4837600,183.6173686771465,184.91829412009614,182.82293028684023,183.05133056640625,13880900,283.9347168247189,284.39216390251653,281.5808231165554,282.72442626953125,4171700,41.317076588172895,41.88831612286476,41.09014495539603,41.57530975341797,8678800,82.97797315449547,84.06147193924488,82.61680928859718,83.65515899658203,17225995,60.25,60.79349899291992,60.233001708984375,60.47949981689453,60442000,57.07415764022948,57.91113250395469,56.80784824792274,57.4546012878418,16864900,43.52557327595977,44.12741504364775,43.27866368186242,43.97309875488281,4897200,20.6200008392334,20.704999923706055,20.399999618530273,20.562999725341797,60296000,49.362131646593824,50.214301155916516,49.30638246658972,49.6408805847168,18740500,197.38958788238463,198.93816418610555,197.2400119304517,197.4863739013672,2749100,24.00698644042484,24.144316510634898,23.93504913756863,24.059303283691406,13046517,143.59571060864616,144.33341605049267,143.1729721395276,143.97698974609375,2756400,40.369685025177354,40.587281691749936,40.262059483979016,40.48433303833008,89738400,57.78155935470563,58.91889754061871,57.38963599057764,57.73544692993164,13715500,70.51340265009092,70.54863683948919,69.30141964815273,70.0271987915039,3579000,42.06553749324252,42.79594650893985,42.0208193644254,42.520179748535156,15751650,72.96957903783958,73.7247372933445,72.79283791553533,73.2507553100586,6322500,79.63901033797488,80.62312314498602,79.62061891943647,80.11727142333984,21912000
2018-01-05,5.295422017377992,5.362668450590756,5.218533247472981,5.325336933135986,580124000,21.107999801635742,21.14933204650879,20.799999237060547,21.10533332824707,68868000,87.84390020866987,88.07705791492951,86.65399297223334,87.1042251586914,14155000,25.16624364121612,25.20767574352002,24.90107281265763,25.13309669494629,56445200,54.758755942293035,55.2614578852317,54.67687416456261,55.09819030761719,30250000,29.22236048197037,29.439386620704045,29.213563576374796,29.36606788635254,21852000,92.69515721242163,93.22747733771024,92.56990120232882,92.89868927001953,2714200,59.765380859375,59.85494092117555,59.048884596428714,59.765380859375,11047600,215.53142323932144,215.79121877904933,212.6066134417939,214.1402587890625,2594700,150.11575871631246,151.5310553638234,149.54335398254042,151.323486328125,2195736,35.86682790645202,36.00711560537923,35.68757206295145,35.90579605102539,13113100,90.60356870971438,90.69561298743683,89.98760127300521,90.55400848388672,4189200,57.64703790935568,58.223906078671234,57.09388160641051,58.16068649291992,8552700,134.24107711638382,135.7404698741166,133.7217409427226,135.6650848388672,3945400,157.20892717944724,158.53457782848605,156.8631069097668,158.50164794921875,4224800,112.5206723911797,113.42442466222208,112.1927607631832,113.3364486694336,6158800,184.3025638935398,185.60347403690517,183.64713865777213,185.5538330078125,13574500,282.8196952633389,294.3699937554494,282.7720572510813,294.32232666015625,6177700,41.63008118330247,41.66138271219211,41.27012255630596,41.559654235839844,6476000,85.1449724330636,85.19012151073441,83.5197278168441,83.70030975341797,16667865,60.8754997253418,61.457000732421875,60.5,61.457000732421875,70894000,57.60679518952343,57.65244658447227,57.03612953221789,57.37853240966797,15300500,43.73390251309661,43.91136859467851,43.34810591572871,43.888221740722656,3771900,20.725000381469727,21.00200080871582,20.55900001525879,20.999000549316406,70332000,49.983354256972824,50.02317771644993,49.44975392673785,49.97539138793945,14217900,198.13744051005747,201.53373090044158,197.72390155230136,201.25216674804688,2432800,24.078921821134156,24.118160112082446,23.941589117506926,24.10508155822754,13167517,144.22567367267604,145.05455685470292,143.72833870435846,144.26712036132812,3737700,40.580269488633746,41.03183557368815,40.48902017988398,40.94526672363281,94640000,58.64225859682799,60.37132537790803,58.51161940270898,60.28679275512695,15338100,69.99902135957345,71.30965380624647,69.44940234180409,71.2462387084961,4599300,42.77358970777524,42.77358970777524,42.17733802659976,42.4754638671875,9955057,73.32307303710967,73.34717911990778,72.76072035551115,73.2989730834961,5949700,80.62308921633777,81.31288290087068,80.41154939895891,81.11054229736328,23407100
2018-01-08,5.448951920939214,5.562677546658299,5.403955764952031,5.488508701324463,881216000,21.066667556762695,22.468000411987305,21.03333282470703,22.42733383178711,147891000,86.95146926996418,87.37758274126287,86.58967029953736,87.23286437988281,12466500,25.050234511409418,25.08338146244496,24.9010763928167,24.959083557128906,42914800,55.13342482258022,55.53836613302585,55.08380053427195,55.292720794677734,24644000,29.40126146779537,29.84118057526205,29.389527785546655,29.800119400024414,26531700,92.5386104845195,92.95351067041304,92.11588030289111,92.36638641357422,5730400,59.73095357506958,60.04097899008123,59.66206079046117,60.034088134765625,10927100,213.49495577065946,213.855314032868,210.87183406695777,211.03106689453125,2940500,150.57497983200886,151.55625516978833,150.44917795059843,150.8328857421875,2235324,35.81228535032278,35.92918982791889,35.7577293328286,35.851253509521484,7068600,90.52566009904393,91.0708278192916,90.3628163198165,91.0000228881836,4826100,57.963108169124084,59.20376343878568,57.45736372983205,59.10894012451172,9778900,137.46598689460623,139.40931757327195,136.15926211764136,139.0742645263672,5929200,157.85937184621645,159.50614183204064,157.76056966750153,158.1228485107422,3508500,113.32847854245951,113.56841425273497,112.7046530179256,113.48043823242188,5129800,185.90142791447593,187.58963232302543,185.03746777985856,186.97393798828125,17994700,294.15075927209307,296.2473259689747,291.37754675172033,295.5707092285156,4124900,41.418798475722234,41.60660167044661,41.230992295919904,41.38749694824219,6681400,84.28718884889986,84.42262168242844,81.7138787672167,82.52650451660156,17130657,61.79999923706055,62.65399932861328,61.60150146484375,62.34349822998047,85590000,57.19592147382861,57.24918337546335,56.556778654211726,56.708953857421875,14215700,43.79562714143692,44.33574295043945,43.66445771504475,44.33574295043945,4522900,21.00200080871582,21.25,20.8439998626709,21.204999923706055,55802000,49.903707215693025,49.95945640631227,49.330283497205826,49.40992736816406,15569400,200.72427352642225,201.2345985327372,197.62713467893673,197.7591094970703,2850800,24.013525101685058,24.065841943610728,23.758480168624498,23.83695411682129,19964341,144.01017113218705,144.399747246414,143.33876511881982,144.1676483154297,2060800,40.79316711425781,41.087971614866134,40.69489537724607,40.79316711425781,82271200,60.18690729225058,60.540404768751536,59.287793763128995,59.764244079589844,9589200,71.3660211486028,71.3660211486028,69.18163568917103,70.1047134399414,5582000,42.63942773554312,42.66924180619598,42.110253308218965,42.2295036315918,11642546,73.04992694408844,73.72475011477218,73.04992694408844,73.68458557128906,4860700,81.11975678951006,81.4692568432421,80.56792309360482,81.1933364868164,22113000
2018-01-09,5.493947674001484,5.533504454880867,5.405439341417313,5.487025260925293,497000000,22.3439998626709,22.586666107177734,21.82666778564453,22.246000289916992,107199000,87.40976127222984,88.14138871046735,87.22484094206388,87.67507934570312,13292300,25.025374165675306,25.307116908057623,24.967367005333703,25.0833797454834,69479100,55.50263843382941,55.50263843382941,54.99447692283552,55.22225570678711,26808000,29.923294867404035,30.01714753959088,29.418857311836984,29.442317962646484,21938100,92.57776157278714,93.14140185807638,92.33507946673707,92.43685150146484,4573600,59.896309778518905,60.04098622047388,59.69651699976684,59.7791862487793,8131600,211.86074741526105,214.207308855725,211.70989055173902,212.81613159179688,2637300,150.71339329406592,152.08466736665298,150.54984737161624,151.77015686035156,2027340,35.85124644388603,36.13182189174828,35.804482878215865,36.03050231933594,9962400,90.92923383420221,91.29032392126088,90.47611568627083,90.51151275634766,4422300,59.09313985229176,59.50406103038665,58.919289048401616,59.18796920776367,9370300,139.32557539555864,140.23023405535227,138.2868903902869,139.40933227539062,4522900,158.666304928349,159.30031496791966,157.7935187398764,158.99566650390625,3012300,113.86428282266581,116.51154355933878,113.77630683729456,115.27989196777344,8897000,187.3910167084553,187.4903290863987,185.80212473195056,186.5667724609375,12393100,295.9900268407316,304.8719266139948,295.8947217452268,303.46148681640625,5641300,41.520521263358816,41.88047982486738,41.489219740163925,41.70832443237305,6622700,82.75222408113102,84.24203548333833,81.75901647965948,83.79058074951172,13855205,62.845001220703125,62.96649932861328,62.0880012512207,62.6349983215332,73226000,56.88394839209125,57.74374913593689,56.76981411155335,57.302433013916016,14209500,44.34345882171523,44.99931181519196,44.29716217356381,44.69839096069336,5519700,21.211000442504883,21.29800033569336,20.858999252319336,20.930999755859375,61259000,49.6169863267653,49.99130485689005,49.433810014051744,49.58512878417969,15766500,197.7591370483461,199.40449942271354,196.47453722048203,198.74459838867188,2672200,23.83041647606952,23.96120990455359,23.77809963055261,23.81079864501953,16876226,144.41632232426437,144.41632232426437,143.4050837669233,143.84439086914062,2674300,40.83997225073741,40.959297149866934,40.5732432755148,40.78849792480469,86336000,59.92561316792918,60.19457793154356,59.51063644849894,59.702754974365234,7778400,70.10472092944534,70.92915485988688,69.54805397893554,70.6332015991211,4055400,42.34131051935603,42.557452146782914,42.162434997997906,42.333858489990234,11142022,73.48375103199304,73.62835688565761,73.1142041013357,73.1463394165039,6630100,81.53364283413168,81.60722253641049,80.80705906225842,81.1381607055664,19484300
2018-01-10,5.394560941459464,5.533504331613579,5.34017048685045,5.530043125152588,582664000,22.14666748046875,22.46666717529297,22.0,22.31999969482422,64648500,88.01274351728973,89.00164730177956,87.94842287639257,88.63985443115234,15834500,25.166242659128486,25.464557261248594,25.11652224166403,25.315399169921875,63532800,54.93492751056001,55.2217617465006,54.78506268002627,55.09075164794922,20734000,29.254625129330186,29.295682954542833,28.896824961195282,29.23116111755371,23791200,92.47596873739643,92.6560227773509,91.35651841495027,91.96713256835938,3363900,59.93763209408262,60.068532053047974,59.23491734087212,59.303810119628906,10822300,213.7044866407152,213.83019004717573,211.4836412083653,213.1429901123047,2927200,151.59396424182935,152.5815185407335,150.98381550018,151.68202209472656,1962516,36.03049589750748,36.05387618963572,35.79668405698842,35.90579605102539,10700700,90.84426506568403,91.16286566441129,90.48318582756862,91.09207153320312,5292200,59.361833011200964,60.11254597899661,59.26700363496253,59.74113845825195,10017600,138.96539018454195,140.3307565068824,137.79269153934297,138.9402618408203,5478600,158.7157357705147,159.09449851242908,157.80177764331927,157.92529296875,3119500,114.80803877067693,115.29590343270782,114.62409340081948,115.1439437866211,6558600,185.64320611712333,186.58661296942847,184.3422959662359,186.53695678710938,10529900,302.5657267658409,307.00667746704806,300.6692800744787,305.2055358886719,4479300,42.20913309166242,42.631694661803564,41.950903011072135,42.20130920410156,11028800,83.92603013381441,86.04788576905071,83.88088824505225,85.46099090576172,17177522,62.25749969482422,62.71649932861328,61.86149978637695,62.71649932861328,53720000,57.59918667787141,58.04050286132208,57.348098191870086,57.5611457824707,14008000,44.86042457035689,44.96844713872895,44.41290208090204,44.48234558105469,4627900,20.756999969482422,21.36400032043457,20.69099998474121,21.25200080871582,59515000,49.76034530309006,50.493053637292846,49.664775707534105,50.27005386352539,18107500,197.82070903360253,197.97907881723424,196.23694406868938,197.26638793945312,2311600,23.765011250113048,23.941582193624424,23.745393425004142,23.850027084350586,18755825,143.81121950627514,144.22566106104824,142.9574709152627,143.8195037841797,2172500,40.514761068662935,40.78149011644093,40.47732453595691,40.77914810180664,95839600,59.29547497167651,59.656652938338176,58.865125411899676,59.51064682006836,8772200,70.21747259105311,70.60502189264514,69.88629048039442,70.24565887451172,4608600,42.14752306953848,42.75868177484154,42.080445874169186,42.70650863647461,9497395,73.03384108989043,73.03384108989043,72.31081209666759,72.68035888671875,6564700,80.80705352049134,81.11056450886657,80.39318000321322,80.770263671875,18652200
2018-01-11,5.562679101203703,5.594077534291679,5.51842468732009,5.539934158325195,406032000,22.349332809448242,22.987333297729492,22.21733283996582,22.530000686645508,99682500,88.97752764675371,89.18656666046496,88.47905801999734,89.11420440673828,13676800,25.406553268432617,25.431413478711224,25.23253653808267,25.406553268432617,59318300,55.19843842798299,55.324484959266414,54.90912430783334,55.1855354309082,22424000,29.23995957026424,29.459919144084523,28.97014191128312,29.33380889892578,19613100,92.0924060981765,92.25680019089869,91.10603556930587,91.49745178222656,3685200,59.49671348109995,60.19254265305343,59.20046979452033,59.889408111572266,14366000,214.3330218986615,214.45034933657868,212.00322506878354,213.8134307861328,2422400,151.4304599563869,152.43688653130795,150.8077297106292,152.4180145263672,1779289,36.030495910146655,36.030495910146655,35.74212807250796,35.882415771484375,7583200,91.2761456875024,94.39137902901066,91.16286211799684,93.8603744506836,11641300,59.796450053472896,61.02130379088456,59.598893388016236,60.886966705322266,10248700,139.8030270757977,142.00603880310408,138.74759836042102,141.7296142578125,4199000,157.82646014088942,160.33778737101963,157.59591330309325,160.29661560058594,3899200,115.27193791066081,115.88775781469843,114.92003384913275,115.7997817993164,4962200,187.09310303993448,187.09310303993448,186.08018947402766,186.4674835205078,9588600,306.98762640644514,312.96288178696096,306.0918106987201,312.696044921875,4635300,42.36564536716527,42.52215001236989,42.11523912886901,42.41259765625,8310000,86.81536064155536,87.53769552926504,85.77701097833604,85.86730194091797,20808952,62.98699951171875,63.8385009765625,62.823001861572266,63.83399963378906,62500000,57.81223770035447,57.84266809338127,57.173089149678624,57.49266052246094,15459900,44.883569263687214,45.894357285424206,44.397467729394684,45.662879943847656,7341800,21.429000854492188,21.774999618530273,21.334999084472656,21.724000930786133,76595000,50.69216096176262,50.70808669663641,49.92759504940055,50.18244934082031,22075000,197.2487998680094,198.77977500630698,196.82646699133838,198.31344604492188,2543600,23.961206608828846,24.00044226553219,23.8173346461002,23.908889770507812,15102555,143.86100143424918,144.68160055660113,142.65083874833374,143.7200927734375,3078000,40.84932702105531,41.05990476936201,40.825931873561046,41.01076889038086,74670800,59.948653286577255,60.7555474002042,59.695055481012716,60.72480773925781,7158200,70.52242802837851,70.60758800404233,69.94757111991898,70.45145416259766,4240900,42.70650966576248,42.937558310302364,42.602166366133346,42.93010330200195,7447402,72.62415044680507,72.72055026203088,72.2385327983481,72.42330932617188,5469700,81.05538909881966,81.05538909881966,80.23683413372385,81.00940704345703,17808900
