,NVDA,NVDA,NVDA,NVDA,TSLA,TSLA,TSLA,TSLA,JPM,JPM,JPM,JPM,BAC,BAC,BAC,BAC,GOOGL,GOOGL,GOOGL,GOOGL,WMT,WMT,WMT,WMT,PEP,PEP,PEP,PEP,XOM,XOM,XOM,XOM,GS,GS,GS,GS,MMM,MMM,MMM,MMM,KO,KO,KO,KO,CVX,CVX,CVX,CVX,SLB,SLB,SLB,SLB,CAT,CAT,CAT,CAT,HD,HD,HD,HD,JNJ,JNJ,JNJ,JNJ,META,META,META,META,BA,BA,BA,BA,MS,MS,MS,MS,GE,GE,GE,GE,AMZN,AMZN,AMZN,AMZN,C,C,C,C,COP,COP,COP,COP,NFLX,NFLX,NFLX,NFLX,WFC,WFC,WFC,WFC,UNH,UNH,UNH,UNH,PFE,PFE,PFE,PFE,MCD,MCD,MCD,MCD,AAPL,AAPL,AAPL,AAPL,CVS,CVS,CVS,CVS,ABBV,ABBV,ABBV,ABBV,MRK,MRK,MRK,MRK,PG,PG,PG,PG,MSFT,MSFT,MSFT,MSFT
,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d,returns_1d,log_returns_1d,returns_5d,returns_20d
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.06581412847148682,0.06373894700537373,0.0,0.0,-0.010233112708571857,-0.01028583096269393,0.0,0.0,0.0010195398551011703,0.0010190204773306817,0.0,0.0,-0.003344222597959523,-0.003349827008771776,0.0,0.0,0.01706095804463925,0.016917054350422588,0.0,0.0,0.008722724910869228,0.008684901734238406,0.0,0.0,-0.0026262540210232332,-0.0026297086759746145,0.0,0.0,0.019640278779615494,0.019449897231121963,0.0,0.0,-0.009309053173316872,-0.009352653203093734,0.0,0.0,-4.251636339525078e-05,-4.2517267241447883e-05,0.0,0.0,-0.0021962103387832554,-0.0021986255455586842,0.0,0.0,0.007289646134789773,0.007263205083917824,0.0,0.0,0.026035587927968562,0.02570243223666727,0.0,0.0,0.0015283863309645263,0.0015272195372992145,0.0,0.0,0.005211723302434912,0.005198189275912295,0.0,0.0,0.00955282742479402,0.009507487688640312,0.0,0.0,0.017914189512804324,0.01775562136603276,0.0,0.0,0.0032341121100609715,0.0032288936179226766,0.0,0.0,0.0026825417893756587,0.002678950195782593,0.0,0.0,0.009454958465197949,0.009410540108391548,0.0,0.0,0.012775310383486449,0.012694394527191124,0.0,0.0,0.0030929744408727533,0.0030882010355744428,0.0,0.0,0.018438363979932593,0.01827043838807182,0.0,0.0,0.019794042018585145,0.019600687318052364,0.0,0.0,0.007693873393918027,0.007664426494051702,0.0,0.0,0.010490203881435844,0.010435563486429439,0.0,0.0,0.0074096366255802515,0.007382320122037012,0.0,0.0,-0.0042146287299777985,-0.004223535311743008,0.0,0.0,-0.00017434106507252523,-0.00017435626424259587,0.0,0.0,-0.004352471387849777,-0.004361970965889601,0.0,0.0,0.015648330001658106,0.015527157350689743,0.0,0.0,-0.0014231289591357665,-0.001424142568932036,0.0,0.0,-0.0012136839009780909,-0.0012144210117571886,0.0,0.0,0.004654343233323255,0.004643545269845495,0.0,0.0
2018-01-04,0.005271271357776497,0.0052574268377490845,0.0,0.0,-0.008289977599700404,-0.008324530558681901,0.0,0.0,0.014325225574502554,0.014223589025001317,0.0,0.0,0.01308709648666273,0.013002200333331373,0.0,0.0,0.00388443692742646,0.003876911982791864,0.0,0.0,0.0009051306540830417,0.0009047212703444515,0.0,0.0,0.004926081056988885,0.004913987618942138,0.0,0.0,0.0013841390425881617,0.0013831820051570145,0.0,0.0,0.013975929700336787,0.013879166919131719,0.0,0.0,0.013071197655550204,0.012986506760762224,0.0,0.0,0.01408489542239022,0.013986624960634684,0.0,0.0,-0.00311243784431936,-0.0031172915528473294,0.0,0.0,0.02481396815995196,0.024511101640159967,0.0,0.0,0.013733674633858772,0.013640222380808463,0.0,0.0,0.007936476810616044,0.00790514862630667,0.0,0.0,-7.11925588370299e-05,-7.11950931475302e-05,0.0,0.0,-0.001841066235866995,-0.00184276308129915,0.0,0.0,-0.0037945709934683602,-0.0038017886423533345,0.0,0.0,0.015287746830113136,0.015172066730706979,0.0,0.0,0.020936991910417868,0.020720825143504037,0.0,0.0,0.004476012896857506,0.0044660253429876385,0.0,0.0,0.012333951432314638,0.012258507963950435,0.0,0.0,0.011536869860611976,0.01147082763917037,0.0,0.0,0.002828606044821047,0.002824613066678513,0.0,0.0,0.012507952854830862,0.01243037463914727,0.0,0.0,0.00434042233543952,0.004331029870782413,0.0,0.0,0.00217914705317801,0.002176776155969346,0.0,0.0,0.007014659311379345,0.00699017103997994,0.0,0.0,0.004645172527879771,0.004634417008606578,0.0,0.0,0.026365973667933362,0.02602438262785842,0.0,0.0,-0.0057028035967831014,-0.005719126668980235,0.0,0.0,0.01620943026991095,0.016079460069400663,0.0,0.0,0.00706847914993225,0.007043614552353348,0.0,0.0,0.008801178537136467,0.008762673924369788,0.0,0.0
2018-01-05,0.008474113292367802,0.008438409557518914,0.0,0.0,0.006229740634655645,0.006210416017176824,0.0,0.0,-0.006419544866322235,-0.006440238755575648,0.0,0.0,0.004637333938591892,0.004626614632123738,0.0,0.0,0.01326017259922585,0.013173026050743651,0.0,0.0,0.00592732469176549,0.0059098272108868664,0.0,0.0,0.00287294810746741,0.0028688290793368156,0.0,0.0,-0.0008065163150865473,-0.0008068417243468137,0.0,0.0,-0.005100510476403253,-0.005113562480133117,0.0,0.0,0.007791809753628476,0.007761610374449785,0.0,0.0,-0.000217429727816687,-0.00021745336908689496,0.0,0.0,-0.0016391357690933583,-0.0016404806219266225,0.0,0.0,0.006840437536002941,0.006817147890415921,0.0,0.0,0.015805228383305003,0.015681626431522298,0.0,0.0,0.010445534913681387,0.010391357263634484,0.0,0.0,0.00825308781531664,0.008219217315935917,0.0,0.0,0.01367104207143921,0.013578436431586375,0.0,0.0,0.04102192563853091,0.04020285150375809,0.0,0.0,-0.00037655805022207556,-0.00037662896600783454,0.0,0.0,0.0005397247148593021,0.0005395791158619497,0.0,0.0,0.016162516530176196,0.0160332935792393,0.0,0.0,-0.0013239823524791028,-0.0013248595914987517,0.0,0.0,-0.0019302031597382419,-0.0019320684024418842,0.0,0.0,0.021203172192687525,0.02098151271868229,0.0,0.0,0.00673861541702081,0.006716012433211405,0.0,0.0,0.019068621152366072,0.018889093634050582,0.0,0.0,0.0019027265252176129,0.0019009186340211636,0.0,0.0,0.002015117941735145,0.0020130903150565958,0.0,0.0,0.011385482993293339,0.011321156182539649,0.0,0.0,0.04419028449353912,0.04324173769278367,0.0,0.0,0.01740809197040294,0.017258306953041303,0.0,0.0,-0.0010516390479087256,-0.0010521924082431773,0.0,0.0,0.0006582563310562062,0.0006580397753850682,0.0,0.0,0.012397712208332523,0.012321489915765536,0.0,0.0
2018-01-08,0.030640646824273032,0.030180596095704598,0.0,0.0,0.06263821959024418,0.060754702381703427,0.0,0.0,0.001476842494804842,0.0014757530354356336,0.0,0.0,-0.006923664836429477,-0.006947744615057296,0.0,0.0,0.0035306148164662154,0.0035243968272270967,0.0,0.0,0.01478071614325982,0.014672545944443853,0.0,0.0,-0.005729928598864564,-0.005746407618960966,0.0,0.0,0.004496035523021025,0.004485958548310161,0.0,0.0,-0.014519417843769089,-0.014625856128653667,0.0,0.0,-0.003242065047812215,-0.00324733192749124,0.0,0.0,-0.0015190455999470887,-0.0015202005194462113,0.0,0.0,0.004925396586681563,0.004913306503630946,0.0,0.0,0.016304030931739932,0.016172547435071898,0.0,0.0,0.025129381605806467,0.024818830581430085,0.0,0.0,-0.002389876972117788,-0.0023927372861966383,0.0,0.0,0.0012704612212461885,0.001269654868276705,0.0,0.0,0.007653331421124232,0.007624193255131478,0.0,0.0,0.00424154899332807,0.0042325789799523,0.0,0.0,-0.0041424138569755575,-0.004151017421159157,0.0,0.0,-0.014023905530032632,-0.01412316963288056,0.0,0.0,0.014424678832250848,0.014321632906715799,0.0,0.0,-0.011669495961755816,-0.011738118915694635,0.0,0.0,0.010196840791604878,0.010145203737090297,0.0,0.0,0.009809960902941839,0.00976215562748103,0.0,0.0,-0.011314849250222303,-0.011379349156356954,0.0,0.0,-0.017356619346859614,-0.017509011379111934,0.0,0.0,-0.011123274599115884,-0.011185600830182094,0.0,0.0,-0.000689499074004507,-0.0006897368878122504,0.0,0.0,-0.003714705545860064,-0.003721622198705001,0.0,0.0,-0.008667713966135193,-0.008705497086119871,0.0,0.0,-0.016022253093601724,-0.016151997118127148,0.0,0.0,-0.005790642719400885,-0.00580747349641431,0.0,0.0,0.005260817056109479,0.005247027300504832,0.0,0.0,0.0010207574392684382,0.001020236820646961,0.0,0.0
2018-01-09,-0.00027028114190874586,-0.00027031767443943264,0.11331835186569972,0.0,-0.00808538113492141,-0.008118245093933886,0.041056967317591786,0.0,0.0050693619768640286,0.0050565560218849516,0.015452859315340683,0.0,0.004979998086467763,0.004967638911459038,0.012374824521076189,0.0,-0.0012744008049864197,-0.0012752135442694072,0.03687997048410496,0.0,-0.012006711536116765,-0.012079374310091887,0.0182572848955338,0.0,0.0007628867018258934,0.0007625958516803872,0.0001693105864437605,0.0,-0.004245952489760785,-0.004254992143066742,0.020463773555737363,0.0,0.008458776821508307,0.008423201841947451,-0.00676670509624,0.0,0.00621397060430251,0.00619474349896885,0.02393496252331828,0.0,0.004999791981244117,0.004987334527180953,0.015151314851160391,0.0,-0.005368241856776201,-0.005382702642976048,0.002038110900092427,0.0,0.001337007279871294,0.0013361142815129959,0.07738773087518291,0.0,0.0024092721264035166,0.002406374483520912,0.05979370728455424,0.0,0.005519872690029182,0.005504694023359307,0.026963769061523202,0.0,0.01585695088404626,0.01573254286958001,0.035265284756831994,0.0,-0.002177659259491427,-0.00218003380734705,0.03555286601708385,0.0,0.026696750867116537,0.026346610680700943,0.07273251565894312,0.0,0.0077517972283289716,0.007721906420473146,0.021268290514073085,0.0,0.015317215242720783,0.01520109099998645,0.032258237337080775,0.0,0.0046757095740346255,0.004664812398839383,0.053565534471483156,0.0,0.010465351873467199,0.010410969172220867,0.012775619419119533,0.0,0.008179585727463579,0.00814631422440202,0.047179872980874116,0.0,-0.012921488744754073,-0.013005697367491256,0.04098072266001651,0.0,0.003545874793746684,0.003539603001341294,0.019152161480625818,0.0,0.0049832793751336535,0.004970903934957416,0.021342133523305273,0.0,-0.0010972656856061969,-0.0010978681223276824,-0.0008231150952456856,0.0,-0.0022422329147091524,-0.002244750482951335,0.001846942173036492,0.0,-0.00011446008690740861,-0.0001144666379630504,0.012016756050377886,0.0,-0.0010288610886255434,-0.0010293907295111505,0.056719461501596236,0.0,0.007538553875303222,0.0075102809802929564,0.018595402079057743,0.0,0.002471136277348185,0.0024680880408034208,0.010316592480121844,0.0,-0.007304732063185826,-0.007331542259095522,0.004412424561190731,0.0,-0.0006795604619470597,-0.0006797914678186805,0.026410900573191176,0.0
2018-01-10,0.007839924582384805,0.007809352060538408,0.05276018942408811,0.0,0.003326413914539472,0.003320893638202626,0.05531915354120698,0.0,0.011003983031998343,0.010943879725923283,0.02558126437536501,0.0,0.0092499267161259,0.009207408138699361,0.025167606132270315,0.0,-0.0023813597824785537,-0.0023841997292044946,0.017058788896835875,0.0,-0.007171882504654281,-0.007197724083289068,0.002212439873487071,0.0,-0.005081511599278388,-0.005094466384574405,-0.0022928288966297394,0.0,-0.007952201409568316,-0.007983988795143766,-0.007150991221225977,0.0,0.001535872859181442,0.0015346946127318692,0.004106051590139881,0.0,-0.0005807120941839772,-0.0005808807727577626,0.02338386166707873,0.0,-0.0034611304390175235,-0.003467134007734665,0.013864403219595367,0.0,0.006414198140940464,0.006393714715220246,0.001167227081009914,0.0,0.009345974492662945,0.009302571094843295,0.05986281754877454,0.0,-0.00336469895461311,-0.0033703722837451194,0.05461595988803847,0.0,-0.006732092507250487,-0.006754855260172085,0.014761497821993652,0.0,-0.001179287895154757,-0.0011799838022949652,0.024259831529494402,0.0,-0.0001598123472622559,-0.00015982511861612278,0.017165673246396285,0.0,0.005747184232708813,0.005730732174648138,0.07541967925078952,0.0,0.011819817229240526,0.011750508796999135,0.03057493472049755,0.0,0.01993553620595634,0.019739425500906304,0.0429755681245767,0.0,0.0013012055442500614,0.001300359709972529,0.04162930214670957,0.0,0.004514865337251095,0.004504703906259746,0.014211235528512223,0.0,-0.004833403954711879,-0.004845122627575163,0.023251348828850382,0.0,0.015336154823019532,0.01521974468118925,0.036430220849679396,0.0,0.01381311486205572,0.013718583312994248,0.025340983635384173,0.0,-0.007437738993680276,-0.0074655368958157905,0.003221657584576265,0.0,0.0016475062393281892,0.0016461505896804686,-0.006538156207057444,0.0,-0.00017301394104118906,-0.00017302890967963334,0.005913159185818362,0.0,-0.00022922695058014142,-0.00022925322709317758,0.01196120092903441,0.0,-0.003217743542644924,-0.0032229316116377626,0.057923792314536815,0.0,-0.005486693450608038,-0.005501800637460581,-0.002600948149053317,0.0,0.008802650166473525,0.008764132713569253,0.020662590491142163,0.0,-0.006370524260029042,-0.006390902643128197,-0.000773463996373347,0.0,-0.004534204750172077,-0.004544515435507693,0.017023367563234304,0.0
2018-01-11,0.0017885996453841368,0.0017870020057798159,0.04911299663533164,0.0,0.009408646715617364,0.009364661080734738,0.0741529827951235,0.0,0.005351429993089241,0.005337161971845955,0.016507885949407664,0.0,0.0036007371599751092,0.0035942700255789366,0.01556812715797773,0.0,0.0017205026274589308,0.0017190242582625446,0.014866456475473466,0.0,0.00351158754725045,0.003505436319875605,0.004822301130386952,0.0,-0.00510705045396187,-0.005120136007532485,-0.012253887173244604,0.0,0.009874542474793468,0.009826107766308292,0.001267045677038059,0.0,0.0031454971776216922,0.0031405604509719223,-0.006618959249723666,0.0,0.004852206091905842,0.00484047208184166,0.01508120402082791,0.0,-0.0006511561394653143,-0.0006513682337002692,-0.0008684442865798392,0.0,0.030390163171022166,0.029937529710409097,0.03481365565716743,0.0,0.019179886367097554,0.018998270914869407,0.05403604899487169,0.0,0.020075911618677278,0.019877047682480026,0.061213969318866024,0.0,0.015015470842312473,0.014903854586764215,0.021888425710751003,0.0,0.005695809880462921,0.005679650088397203,0.03016716103430528,0.0,-0.00037243701086453473,-0.0003725063827530395,0.018662267810515942,0.0,0.024542507105557165,0.024246178422302207,0.1060100078645867,0.0,0.005006680032758393,0.004994188287713775,0.020139065897475383,0.0,0.004754345004076566,0.0047430788007008715,0.026443592611261613,0.0,0.01781828254348916,0.01766139781681635,0.05546507208311069,0.0,-0.001189782779317472,-0.001190491132762015,0.0006624227436278218,0.0,0.026539391018439495,0.02619333084524994,0.038427612263218336,0.0,0.022209679282373163,0.021966636376251254,0.05646069255224084,0.0,-0.0017426781149451065,-0.0017441983448889585,0.010909733061227112,0.0,0.005307838382432095,0.005293801456865021,0.00418799599798092,0.0,0.0024680343527094806,0.002464993757760677,-0.006251781749871066,0.0,-0.000691220648983526,-0.0006914596521185977,-0.0017842918726755919,0.0,0.005679882963615768,0.005663813249059679,0.013003446334471036,0.0,0.020402415098268012,0.02019707409795555,0.051776871372522626,0.0,0.002929651331957439,0.002925368266713461,0.006058436984705207,0.0,0.005235610979830385,0.005221952820462071,0.009640682515715815,0.0,-0.003536712868293823,-0.003542981822609046,-0.011296074427960101,0.0,0.0029607848323183195,0.002956410341397176,0.01113537198993142,0.0
